8 2 2 
4 5
 3 1 2 2 1 2 1 1 
3 1 2 3 4 4 2 2

 0 2 1	4 
1 2 2 3 
2 0 
3	1 6 
4 2	5 7 
5 1	6 
6 0 7	0 

0 0 
1 0 
2 0 
3	0 
4 0 
5	1 7 
6 0 
7 0 
0 0	
1 1 3 
2	0 
3 0 
4	0 
5 0 
6 0 7 0	

0	1	
1	1	
2	2		
3	2	
4	4
5	6
6	2
7	2

0	3	1200	3	0	3	0
1	1	100	1	0	1	0
2	2	400	0	2	2	0
2	2	400	0	2	0	2
3	2	600	2	0	0	2
3	3	450	3	0	0	3
4	1	1000	1	0	0	1
4	2	750	2	0	0	2
4	3	600	3	0	0	3
4	4	500	4	0	0	4
5	2	1200	0	2	2	0
5	3	900	0	3	3	0
5	4	720	0	4	4	0
5	2	1200	0	2	0	2
5	3	900	0	3	0	3
5	4	720	0	4	0	4
6	1	700	0	1	1	0
6	2	525	0	2	2	0
7	1	100	0	1	1	0
7	2	750	0	2	2	0
