11 2 2
6 6
2 1 2 2 3 1 2 1 2 2 2
3 2 2 3 3 3 2 2 3 2 2

0	1	2
1	2	3	4	
2	2	5	8
3	1	5
4	1	6
5	1	9
6	2	7	10
7	0	
8	0
9	0
10	0

0	0			
1	0	
2	0		
3	0
4	0		
5	1	6			
6	0		
7	0
8	0
9	0
10	0		

0	0	
1	0	
2	0	
3	1	5	
4	0	
5	0	
6	0	
7	0
8	0
9	0	
10	0

0	2	
1	2	
2	1		
3	4	
4	1
5	3
6	2
7	2
8	2
9	1
10	1

0	2	300	2	0	2	0
0	3	225	3	0	3	0
1	1	200	0	1	0	1
1	2	150	0	2	0	2
2	2	375	2	0	0	2
3	2	200	2	0	2	0
3	3	150	3	0	3	0
3	2	200	2	0	0	2
3	3	150	3	0	0	3
4	3	600	0	3	0	3
5	1	300	0	1	1	0
5	2	225	0	2	2	0
5	3	180	0	3	3	0
6	2	200	0	2	2	0
6	2	200	0	2	0	2
7	1	300	1	0	1	0	
7	2	225	2	0	2	0
8	2	400	2	0	0	2
8	3	300	3	0	0	3
9	2	300	0	2	2	0
10	2	100	2	0	2	0
