Area1_1.Task, Area1_1.TaskBeginning, Area1_1.TaskEnd, Area1_1StartInThisArea, Area1_1EndInThisArea, Area1_1.Worker, Area1_1.NumberOfWorkers, Area1_2.Task, Area1_2.TaskBeginning, Area1_2.TaskEnd, Area1_2StartInThisArea, Area1_2EndInThisArea, Area1_2.Worker, Area1_2.NumberOfWorkers, Area1_3.Task, Area1_3.TaskBeginning, Area1_3.TaskEnd, Area1_3StartInThisArea, Area1_3EndInThisArea, Area1_3.Worker, Area1_3.NumberOfWorkers, Area1_4.Task, Area1_4.TaskBeginning, Area1_4.TaskEnd, Area1_4StartInThisArea, Area1_4EndInThisArea, Area1_4.Worker, Area1_4.NumberOfWorkers, Area1_5.Task, Area1_5.TaskBeginning, Area1_5.TaskEnd, Area1_5StartInThisArea, Area1_5EndInThisArea, Area1_5.Worker, Area1_5.NumberOfWorkers, Area2_1.Task, Area2_1.TaskBeginning, Area2_1.TaskEnd, Area2_1StartInThisArea, Area2_1EndInThisArea, Area2_1.Worker, Area2_1.NumberOfWorkers, Area2_2.Task, Area2_2.TaskBeginning, Area2_2.TaskEnd, Area2_2StartInThisArea, Area2_2EndInThisArea, Area2_2.Worker, Area2_2.NumberOfWorkers, Area2_3.Task, Area2_3.TaskBeginning, Area2_3.TaskEnd, Area2_3StartInThisArea, Area2_3EndInThisArea, Area2_3.Worker, Area2_3.NumberOfWorkers
1, 0, 30, 0, 30, 2, 2,		1, 0, 30, 0, 30, 3, 2,		2, 30, 80, 30, 80, 4, 3,		2, 30, 80, 30, 80, 5, 3,		6, 80, 100, 80, 100, 6, 2,		6, 80, 100, 80, 100, 7, 2,		7, 100, 150, 100, 150, 8, 2		
4, 80, 100, 80, 100, 1, 1,		2, 30, 80, 30, 80, 2, 3,		3, 80, 130, 80, 130, 3, 3,		3, 80, 130, 80, 130, 4, 3,		3, 80, 130, 80, 130, 5, 3,		7, 100, 150, 100, 150, 6, 2,		5, 130, 150, 130, 150, 7, 1,		0, 0, 0, 0, 0, 0, 0			
0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
